text,label
Haldiram's Planet Food,shop_name
Multi-cuisine Food Court,category_hint
"Sector 25A, Noida",address
0120-4351666,phone
Food Menu,ignore
Bazaar India,shop_name
Budget Retail,category_hint
"Ghaziabad, Uttar Pradesh",address
1800-120-5678,phone
Latest Offers,ignore
Max Hospital,shop_name
Medical Care,category_hint
"Shalimar Bagh, Delhi",address
011-66422222,phone
OPD Schedule,ignore
Aggarwal Bhawan,shop_name
Community Hall,category_hint
"Rohini Sector 9, Delhi",address
011-27551234,phone
Booking Status,ignore
V-Mart,shop_name
Fashion Retail,category_hint
"Faridabad, Haryana",address
0129-4102233,phone
Store Near Me,ignore
The Coffee Bean & Tea Leaf,shop_name
Cafe Chain,category_hint
"Select Citywalk, Delhi",address
011-40575040,phone
Order Delivery,ignore
Kailash Mansarovar Bhawan,shop_name
Pilgrimage Center,category_hint
"Indirapuram, Ghaziabad",address
0120-2601000,phone
Registration,ignore
Wave Mall,shop_name
Shopping & Cinema,category_hint
"Sector 18, Noida",address
0120-4364666,phone
Movie Tickets,ignore
Daryaganj Restaurant,shop_name
North Indian Cuisine,category_hint
"Aerocity, Delhi",address
011-47128888,phone
Book Table,ignore
Jaipuria Sunrise Plaza,shop_name
Commercial Complex,category_hint
"Indirapuram, Ghaziabad",address
0120-4100000,phone
Rentals,ignore
Ambience Mall,shop_name
Luxury Mall,category_hint
"Nelson Mandela Marg, Delhi",address
011-40870000,phone
Gift Vouchers,ignore
Paras Hospital,shop_name
Tertiary Care,category_hint
"Sushant Lok 1, Gurgaon",address
0124-4585555,phone
Health Packages,ignore
Kebab Gali,shop_name
Mughlai Cuisine,category_hint
"Malviya Nagar, Delhi",address
011-41604040,phone
Takeaway,ignore
Shiv Nadar University,shop_name
Research University,category_hint
"Dadri, Greater Noida",address
0120-3819100,phone
Academics,ignore
Spize,shop_name
Restaurant & Bar,category_hint
"Sector 63, Noida",address
0120-4241000,phone
Happy Hours,ignore
Eros Hotel,shop_name
Premium Stay,category_hint
"Nehru Place, Delhi",address
011-41223344,phone
Stay Deals,ignore
GoodEarth City Centre,shop_name
Lifestyle Mall,category_hint
"Sector 50, Gurgaon",address
0124-4000300,phone
Directory,ignore
Artemis Hospital,shop_name
Healthcare Services,category_hint
"Sector 51, Gurgaon",address
0124-6767000,phone
Doctor Profile,ignore
Sitaram Diwan Chand,shop_name
Chole Bhature,category_hint
"Paharganj, Delhi",address
011-23583112,phone
Order Online,ignore
Inox Movies,shop_name
Multiplex,category_hint
"Epicuria, Nehru Place, Delhi",address
1800-103-9999,phone
Showtimes,ignore
The Galaxy Hotel,shop_name
Hotel & Spa,category_hint
"Sector 15, Gurgaon",address
0124-4868686,phone
Spa Menu,ignore
Aakash Institute,shop_name
Coaching Classes,category_hint
"Janakpuri, Delhi",address
1800-102-2727,phone
Scholarships,ignore
Cyber Hub Social,shop_name
Pub & Coworking,category_hint
"DLF Cyber Hub, Gurgaon",address
078380 45182,phone
Reserve Seat,ignore
The Leela Ambience,shop_name
5-Star Hotel,category_hint
"NH-8, Gurgaon",address
0124-4771234,phone
Meeting Rooms,ignore
Pita Pit,shop_name
Health Food,category_hint
"Cyber Hub, Gurgaon",address
0124-4366666,phone
Calories Chart,ignore
Sheetla Mata Mandir,shop_name
Religious Site,category_hint
"Sheetla Mata Road, Gurgaon",address
0124-2321234,phone
Donations,ignore
Kingdom of Dreams,shop_name
Cultural Hub,category_hint
"Sector 29, Gurgaon",address
0124-4528000,phone
Show Info,ignore
MGF Metropolitan Mall,shop_name
Retail Space,category_hint
"MG Road, Gurgaon",address
0124-4050000,phone
Leasing,ignore
Columbia Asia Hospital,shop_name
Community Healthcare,category_hint
"Palam Vihar, Gurgaon",address
0124-6165666,phone
Nursing Care,ignore
Karim's,shop_name
Authentic Mughlai,category_hint
"Jama Masjid, Delhi",address
011-23264981,phone
Branches,ignore
Faridabad Model School,shop_name
Educational Institution,category_hint
"Sector 31, Faridabad",address
0129-2275661,phone
Alumni,ignore
The Westin,shop_name
Resort & Spa,category_hint
"MG Road, Gurgaon",address
0124-4977777,phone
Heavenly Spa,ignore
Pizza Express,shop_name
Gourmet Pizza,category_hint
"Ambience Mall, Gurgaon",address
0124-4665715,phone
New Offers,ignore
Avenue 51,shop_name
Cafe & Lounge,category_hint
"Indirapuram, Ghaziabad",address
0120-4567890,phone
Reviews,ignore
Logix Cyber Park,shop_name
IT Park,category_hint
"Sector 62, Noida",address
0120-4011000,phone
Offices,ignore
Pind Balluchi,shop_name
North Indian Restaurant,category_hint
"Shipra Mall, Indirapuram",address
0120-4107111,phone
Catering,ignore
Nazeer Foods,shop_name
Roasted & Curry,category_hint
"Sector 18, Noida",address
0120-4222000,phone
Menu Card,ignore
The Great Kabab Factory,shop_name
Specialty Grill,category_hint
"Radisson Blu, Noida",address
0120-4300000,phone
Dinner Buffet,ignore
Cloudnine Hospital,shop_name
Maternity & Childcare,category_hint
"Sector 47, Gurgaon",address
0124-4721555,phone
Paediatrics,ignore
Farzi Cafe,shop_name
Modern Indian Bistro,category_hint
"Cyber Hub, Gurgaon",address
088006 90419,phone
Cocktails,ignore
Unitech Info Space,shop_name
Business Park,category_hint
"Sector 48, Gurgaon",address
0124-4001000,phone
Facilities,ignore
The Lalit,shop_name
Luxury Hotel,category_hint
"Barakhamba Avenue, Delhi",address
011-44447777,phone
Grand Ballroom,ignore
Gaur City Mall,shop_name
Shopping Destination,category_hint
Greater Noida West,address
0120-6810000,phone
Cinema,ignore
Fortis Escorts Heart Institute,shop_name
Cardiac Care,category_hint
"Okhla Road, Delhi",address
011-47135000,phone
Heart Health,ignore
Wenger's,shop_name
Oldest Bakery,category_hint
"Connaught Place, Delhi",address
011-23323294,phone
Pastries,ignore
DLF Mall of India,shop_name
Largest Shopping Mall,category_hint
"Sector 18, Noida",address
0120-6133333,phone
Brands List,ignore
Noida Golf Course,shop_name
Sports & Leisure,category_hint
"Sector 38, Noida",address
0120-2430200,phone
Membership,ignore
Shanti Home,shop_name
Psychiatric Clinic,category_hint
Greater Noida,address
0120-2321150,phone
Counselling,ignore
The Piano Man Jazz Club,shop_name
Live Music Venue,category_hint
"Safdarjung Enclave, Delhi",address
011-41315181,phone
Gigs,ignore
Pragati Maidan,shop_name
Exhibition Centre,category_hint
"Mathura Road, Delhi",address
011-23371540,phone
Trade Fair,ignore
Bikanerwala Chat,shop_name
Street Food,category_hint
"Sector 29, Gurgaon",address
0124-4000011,phone
Quick Bites,ignore
IKEA Worli (Studio),shop_name
Home Furnishing,category_hint
"Sector 10, Gurgaon",address
1800-419-4532,phone
Planning Studio,ignore
Narayana Superspeciality Hospital,shop_name
Healthcare Group,category_hint
"Sector 24, Gurgaon",address
0124-4704040,phone
OPD Fees,ignore
Subway,shop_name
Healthy Subs,category_hint
"Logix Mall, Noida",address
0120-4321234,phone
Customize Sub,ignore
TGI Fridays,shop_name
Casual Dining,category_hint
"DLF Promenade, Delhi",address
011-46060303,phone
Happy Hours,ignore
K.R. Mangalam University,shop_name
Higher Ed,category_hint
"Sohna Road, Gurgaon",address
0124-2867700,phone
Fees Structure,ignore
Red Fox Hotel,shop_name
Economy Stay,category_hint
"Mayur Vihar, Delhi",address
011-41221111,phone
Booking,ignore
Chayos (Tea),shop_name
Cafe,category_hint
"Pacific Mall, Delhi",address
011-43211234,phone
Snacks,ignore
Blinkit (Warehouse),shop_name
Quick Commerce,category_hint
"Udyog Vihar, Gurgaon",address
Customer Support,phone
Delivery Time,ignore
Apollo Cradle,shop_name
Women's Hospital,category_hint
"Greater Kailash, Delhi",address
011-44244424,phone
Baby Care,ignore
Pita Pit (Health),shop_name
Eatery,category_hint
"Cyber Hub, Gurgaon",address
0124-4366666,phone
Nutrition,ignore
Heritage School,shop_name
Experiential Learning,category_hint
"Sector 62, Gurgaon",address
0124-2855124,phone
Admission Form,ignore
Worldmark,shop_name
Mixed-use Development,category_hint
"Aerocity, Delhi",address
011-41221234,phone
Food Hub,ignore
Ibis Hotel,shop_name
Budget Hotel,category_hint
"Aerocity, Delhi",address
011-43528888,phone
Room Rates,ignore
Lenskart (Eyewear),shop_name
Optical Store,category_hint
"MG Road, Gurgaon",address
092117 02333,phone
Eyeglasses,ignore
Fortis Memorial Research Institute,shop_name
Multi-speciality Hospital,category_hint
"Sector 44, Gurgaon",address
0124-4962200,phone
Find Doctor,ignore
Dunkin' Donuts,shop_name
Donuts & Coffee,category_hint
"Sector 18, Noida",address
0120-4561234,phone
Flavors,ignore
Blue Tokai Coffee,shop_name
Roastery & Cafe,category_hint
"Saidulajab, Delhi",address
098211 26875,phone
Brew Guide,ignore
Max Healthcare (Saket),shop_name
Private Hospital,category_hint
"Saket, Delhi",address
011-26510050,phone
Online Payment,ignore
Organic India,shop_name
Wellness Products,category_hint
"GK-1, Delhi",address
1800-103-9606,phone
Products,ignore
Dominos (Pizza),shop_name
Pizzeria,category_hint
"Sector 62, Noida",address
1800-208-1234,phone
Track,ignore
Starbucks (Cafe),shop_name
Coffee House,category_hint
"Cyber Hub, Gurgaon",address
0124-4366666,phone
Menu,ignore
KFC (Fast Food),shop_name
Fried Chicken,category_hint
"Connaught Place, Delhi",address
011-33552020,phone
Offers,ignore
Sharma Tea Stall,shop_name
Chai & Samosa,category_hint
Near Sec 15 Metro Station,address
9811223344,phone
Open 24 Hours,ignore
Verma General Store,shop_name
Kirana,category_hint
"Gali No. 5, Uttam Nagar",address
8800123456,phone
Home Delivery,ignore
Aggarwal Atta Chakki,shop_name
Flour Mill,category_hint
"Sadar Bazar, Gurgaon",address
Mittal Plywood,shop_name
Hardware & Timber,category_hint
"Kirti Nagar, Delhi",address
011-25101010,phone
Discount Available,ignore
Deep Cycle Works,shop_name
Bicycle Repair,category_hint
Palam Colony,address
Rajesh Stationery,shop_name
Books & Pens,category_hint
"Sec 12, Noida",address
Krishna Medical Hall,shop_name
Chemist,category_hint
"Turab Nagar, Ghaziabad",address
Yadav Dairy,shop_name
Milk & Curd,category_hint
"Village Gejha, Sec 93",address
Gupta Electricals,shop_name
Fan Repair,category_hint
Malviya Nagar Market,address
Pinky Boutique,shop_name
Ladies Suit,category_hint
Shahpur Jat,address
Shanti Hair Saloon,shop_name
Barber,category_hint
Khoda Village,address
9955443322,phone
Rajindra Motor Garage,shop_name
Car Service,category_hint
Okhla Phase 1,address
Sonu Puncture Shop,shop_name
Two Wheeler Repair,category_hint
"Harola, Noida",address
Jain Photo Studio,shop_name
Passport Photo,category_hint
Nehru Place,address
Bharat Hardware,shop_name
Sanitary Ware,category_hint
Indirapuram Gali,address
Gupta Ji Ki Dukaan,shop_name
Grocery Store,category_hint
Dilshad Garden,address
9211334455,phone
Laxmi Dry Cleaners,shop_name
Laundry,category_hint
Vaishali Sec 4,address
Tyagi Ji Guest House,shop_name
PG for Boys,category_hint
Sec 62 Noida,address
8585851212,phone
Om Shanti Sweets,shop_name
Local Mithai,category_hint
Chandni Chowk,address
Bulk Order Only,ignore
Kumar Book Depot,shop_name
School Books,category_hint
Nai Sarak,address
Balaji Telecom,shop_name
Mobile Recharge,category_hint
Badarpur Border,address
7042334455,phone
Shiv Shakti Mandir,shop_name
Spiritual Site,category_hint
Chirag Delhi,address
Pandit Ji Astrology,shop_name
Palm Reading,category_hint
Lajpat Nagar 2,address
National Handloom,shop_name
Textile,category_hint
Maliwara Ghaziabad,address
Singh Auto Parts,shop_name
Spare Parts,category_hint
Mayapuri,address
Pooja Bartan Bhandar,shop_name
Kitchen Utensils,category_hint
"Bhangel, Noida",address
Sharma Dhaba,shop_name
North Indian Food,category_hint
Murthal Road,address
9811001100,phone
Rathi Tent House,shop_name
Event Decor,category_hint
Rohini Sec 7,address
New Look Tailors,shop_name
Custom Stitching,category_hint
Kamla Nagar,address
Best Quality,ignore
Jai Durga Kirana Store1,shop_name
Daily Needs1,category_hint
"Gali No. 2, Sadarpur, Noida1",address
98123443211,phone
Open All Days,ignore
Pappu Halwai1,shop_name
Samose & Jalebi1,category_hint
"Main Market, Najafgarh1",address
88005566771,phone
Pure Desi Ghee,ignore
Raju Bike Point2,shop_name
Two Wheeler Repair2,category_hint
"Old Gurgaon Road, Gurgaon1",address
70112299882,phone
Quick Service,ignore
Gupta Ji Ki Rasoi1,shop_name
Home Tiffin Service1,category_hint
"Sector 12, RK Puram, Delhi1",address
99998877661,phone
Healthy Food,ignore
Chauhan Dry Cleaners1,shop_name
Steam Press1,category_hint
"Indirapuram, Ghaziabad1",address
0120-45454541,phone
Same Day Delivery,ignore
Balaji Pustak Bhandar1,shop_name
Stationery & Gift1,category_hint
"Atta Market, Noida1",address
85859696321,phone
Photocopy Available,ignore
Om Sai Clinic1,shop_name
General Physician1,category_hint
"Sangam Vihar, Delhi1",address
93123456781,phone
Evening 6 to 9,ignore
Malik Chicken Corner1,shop_name
Tandoori Snacks1,category_hint
Jama Masjid Area1,address
98110022331,phone
Taste of Delhi,ignore
Janta Bakery1,shop_name
Fresh Biscuits1,category_hint
"Model Town, Delhi1",address
011-271122331,phone
Eggless Cakes,ignore
Shiva Hardware & Paint1,shop_name
Sanitary Fittings1,category_hint
Faridabad Sector 151,address
77665544111,phone
Asian Paints Dealer,ignore
Metro Hair Dresser1,shop_name
Men's Salon1,category_hint
Near Noida City Centre1,address
95403322111,phone
AC Saloon,ignore
Laxmi Jewellers1,shop_name
Gold & Silver1,category_hint
"Chandni Chowk, Delhi1",address
011-232344551,phone
Trusted Since 1980,ignore
Yadav Cycle Store1,shop_name
Cycle Repair1,category_hint
Gurgaon Sector 41,address
88221144551,phone
New Cycles,ignore
Bharat Mobile Solution3,shop_name
Screen Replacement3,category_hint
Nehru Place Market3,address
99110099113,phone
All Models Repaired,ignore
Krishna Milk Center1,shop_name
Fresh Paneer & Ghee1,category_hint
"Gejha, Noida Sector 931",address
70425588771,phone
Home Delivery Available,ignore
Goyal Provision Store1,shop_name
Monthly Ration1,category_hint
Mayur Vihar Phase 11,address
98712345671,phone
Free Delivery,ignore
Perfect Tailors1,shop_name
Blouse & Suit1,category_hint
"Karol Bagh, Delhi1",address
88002233441,phone
Master Ji,ignore
Siddhivinayak Diagnostics1,shop_name
Blood Test1,category_hint
"Pitampura, Delhi1",address
011-424255551,phone
Home Collection,ignore
Prince Decorators1,shop_name
Tent & Lighting1,category_hint
"Vikas Puri, Delhi1",address
92123344551,phone
Marriage Specialist,ignore
Modern Opticals1,shop_name
Eye Testing1,category_hint
Dwarka Sector 61,address
98912233441,phone
Computerized Testing,ignore
Bunty General Store,shop_name
Kirana & Cold Drink,category_hint
"Gali No. 10, Sangam Vihar, Delhi",address
9811223344,phone
All Payments Accepted,ignore
Pappu Mobile Repairing,shop_name
Screen & Battery Fix,category_hint
"Main Market, Bhajanpura",address
8800112233,phone
Sunday Closed,ignore
Shanti Clinic,shop_name
B.A.M.S Doctor,category_hint
"Block C, Burari, Delhi",address
9311223344,phone
Evening 5-10 PM,ignore
Balaji Electricals,shop_name
Fan & Motor Winding,category_hint
"Harola Market, Noida Sec 5",address
0120-2233445,phone
Wholesale Rates,ignore
Bittu Auto Service,shop_name
Bike & Scooter Repair,category_hint
"Old Gurgaon, Palam Vihar",address
7042112233,phone
Sunday Open,ignore
Durga Sweets,shop_name
Samose & Jalebi,category_hint
"Barola Market, Noida",address
9911001100,phone
Pure Desi Ghee,ignore
Laxmi Pustak Bhandar,shop_name
Books & Stationery,category_hint
Bhajanpura Market,address
9211002233,phone
Photocopy @ 1 Re,ignore
Gupta Ji Ki Rasoi,shop_name
North Indian Thali,category_hint
"Govindpuri, Delhi",address
8585123456,phone
Home Delivery,ignore
Shiv Shakti Hardware,shop_name
Paint & Sanitary,category_hint
"Jahangirpuri, Delhi",address
9312344321,phone
Retail & Wholesale,ignore
Shagun Ladies Boutique,shop_name
Suit & Blouse Stitching,category_hint
"Shahdara, Delhi",address
9811221122,phone
Visit Store,ignore
Krishna Medicos,shop_name
Medicine & Cosmetic,category_hint
"Sec 12, Noida",address
0120-1122334,phone
24 Hours Open,ignore
Ravi Cycle Works,shop_name
Puncture & Spares,category_hint
"Indirapuram, Ghaziabad",address
9999009900,phone
Quick Service,ignore
Mohan Tent House,shop_name
Wedding Decoration,category_hint
"Palam Colony, Delhi",address
8800112211,phone
Book for Parties,ignore
Jai Shree Balaji Dairy,shop_name
Fresh Paneer & Curd,category_hint
"Gejha Village, Noida",address
7011223344,phone
High Quality,ignore
Sonu Aluminium Works,shop_name
Door & Window Repair,category_hint
"Loni, Ghaziabad",address
9311004455,phone
Contact for Quote,ignore
Ritu Hair & Beauty,shop_name
Makeup & Haircut,category_hint
"Burari, Delhi",address
8527112233,phone
Only Ladies,ignore
Chintu Battery Point,shop_name
UPS & Car Battery,category_hint
"Okhla Phase 2, Delhi",address
011-23211122,phone
Exchange Offer,ignore
Madan Halwai & Catering,shop_name
Bedmi Poori & Sabzi,category_hint
"Chandni Chowk, Delhi",address
8822331122,phone
Bulk Catering,ignore
Sharma Furniture Repair,shop_name
Sofa & Bed Polishing,category_hint
Gurgaon Sec 14,address
9211334411,phone
Home Service,ignore
Deepak Car AC,shop_name
Gas Refilling & Wiring,category_hint
Noida Sec 10,address
9871122334,phone
Expert Repair,ignore
Pooja General Store,shop_name
All Groceries,category_hint
"Dilshad Garden, Delhi",address
9540112233,phone
Fresh Stocks,ignore
Bittu Photo Studio,shop_name
Passport & Wedding,category_hint
"Badarpur, Delhi",address
8866112233,phone
Instant Delivery,ignore
